sensitive,fedsubgroup_mean,best_philo_b_mean,mean_diff,wilcoxon_p
age,0.9098918530128514,0.9094326456643352,0.0004592073485161589,0.84375
sex,0.9223372921574525,0.92128198400398,0.001055308153472471,0.5625
