sensitive,fedsubgroup_mean,best_philo_b_mean,mean_diff,wilcoxon_p
age,0.816202930719159,0.825082587584844,-0.008879656865684992,0.083984375
sex,0.8055216368549754,0.8304536281377498,-0.024931991282774423,0.02734375
